Character,Dialogue,Context,fr,it,de,es,ru,ptbr,zht,zhs,JP,ko,tr,
,My sweet daughter...,,Ma gentille fille...,La mia dolce figlia...,Meine süße Tochter ...,Mi querida hijita...,Моя любимая доченька...,Minha filha querida...,我親愛的女兒…,Tatli kizim...,キミコちゃん…,사랑스러운 우리 딸...,Tatli kizim...,
,"Hello, darling.",,"Bonjour, ma chérie.","Ciao, cara.","Hallo, Liebling.","Hola, cariño.","Привет, золотце.","Olá, querida.",你好啊，親愛的。,"Merhaba, tatlim.",いい子ねぇ。,안녕 아가야.,"Merhaba, tatlim.",
,What took you so long?,,Qu'est-ce qui a pris si longtemps ?,Perché ci hai messo così tanto?,Warum hast du so lange gebraucht?,¿Por qué has tardado tanto?,Почему ты так долго?,Por que demorou tanto?,妳為什麼這麼久才來？,Neden bu kadar geciktin?,長くかかったわね。,왜 이렇게 오래 걸렸어?,Neden bu kadar geciktin?,
,Now come give Mommy a kiss.,,Viens faire un bisou à maman.,Vieni a dare un bacio alla mamma.,Jetzt gib Mami einen Kuss.,Ven a darle un beso a mamá.,"Ну же, поцелуй мамочку.",Vem dar um beijinho na mamãe.,現在，過來給媽媽一個親吻。,Simdi gelip anneyi op.,ママにキスして。,엄마한테 뽀뽀해주렴.,Simdi gelip anneyi op.,
,"Wow, that was fun. Bored now.",,"Waouh, c'était amusant. Maintenant, je m'ennuie.","Wow, è stato divertente. Ora mi annoio.","Wow, das hat Spaß gemacht. Jetzt ist mir langweilig.","Vaya, eso fue divertido. Ya me aburrí.","Ого, было весело. Теперь скучно.","Uau, foi divertido. Agora tô entediada.",哇，剛才真好玩。現在無聊了。,"Vay, eglenceliydi. Simdi sikildim.",わあ、楽しかった。もう飽きた。,"와, 재밌었다. 이제 지루해.","Vay, eglenceliydi. Simdi sikildim.",
,Cellphone,,Téléphone portable,Cellulare,Handy,Teléfono móvil,Мобильный телефон,Celular,手機,Cep Telefonu,携帯電話,휴대전화,Cep Telefonu,
,"""Health is full""",,« La santé est à fond »,"""Salute al massimo""",„Gesundheit ist voll“,«La salud está a tope»,«Полный запас здоровья»,"""Saúde plena""",“血量已滿”,"""Saglik dolu""",「HPフル」,"""체력이 가득 찼다""","""Saglik dolu""",
,"Woah, you gobbled that up, dude!",,"Ouah, t'as avalé ça d'un coup !","Wow, hai spazzolato quella pizza in un secondo, bella!","Woah, das hast du ja regelrecht verschlungen, Kumpel!","¡Vaya, te has zampado todo!","Ого, ну ты и обжора!","Uau, você devorou isso, cara!",哇，妳狼吞虎嚥地吃完了耶，老兄！,"Vay, silip supurdun dostum!",わぁ、一気に食べたね！,"와, 저걸 다 먹어치웠어!","Vay, silip supurdun dostum!",
,Make sure you share some with that awesome snail on your head!,,N'oublie pas d'en donner un peu au super escargot sur ta tête !,Condividila con quella lumaca fantastica che hai in testa!,Du solltest unbedingt etwas mit der tollen Schnecke auf deinem Kopf teilen!,¡No te olvides de darle un poco a ese fantástico caracol que llevas en la cabeza!,Не забудь поделиться с крутейшей улиткой на твоей голове!,"Vê se divide com esse caracol incrível na sua cabeça, hein!",可別忘了分一點給妳頭上的那隻超棒的蝸牛！,Kafandaki harika salyangozla da paylasmayi unutma!,頭に乗っているステキなカタツムリにも少し分けてあげな。,머리에 있는 멋진 달팽이랑도 나눠 먹어!,Kafandaki harika salyangozla da paylasmayi unutma!,
,"Enjoy the pizza, bestie.",,"Profite bien de la pizza, ma vieille.","Goditi la pizza, migliore amica.","Lass dir die Pizza schmecken, Bestie.","Disfruta la pizza, amiguita.","Наслаждайся пиццей, подруга.","Aproveite a pizza, amiguinha.",好好享用披薩吧，好朋友。,"Pizzanin tadini cikar, kanka.",おいしいピザで、いいひと時を。,"피자 맛있게 먹어, 절친.","Pizzanin tadini cikar, kanka.",
,"Enjoy the pizza, dude.",,"Profite bien de la pizza, meuf.","Goditi la pizza, bella.","Lass dir die Pizza schmecken, Kumpel.","Disfruta la pizza, colegui.","Наслаждайся пиццей, чувиха.","Aproveite a pizza, cara.",好好享用披薩吧，老兄。,"Pizzanin tadini cikar, dostum.",おいしいピザで、いいひと時を。,"피자 맛있게 먹어, 친구.","Pizzanin tadini cikar, dostum.",
,"We are practically besties now, dude!",,"On est pratiquement meilleurs potes, maintenant !","Siamo praticamente migliori amici ora, bella!","Wir sind jetzt praktisch Besties, Kumpel!",¡Ya somos prácticamente amigos íntimos!,Мы уже практически лучшие друзья!,"Agora somos quase melhores amigos, cara!",我們現在簡直就是最好的朋友呢，兄弟！,"Neredeyse kanka olduk, dostum!",これで僕らは親友みたいなもんだね！,이 쯤이면 절친이지!,"Neredeyse kanka olduk, dostum!",
,"If you want a code for a free topping, let me know. I got you, buddy!",,"Si tu veux un code pour des garnitures gratos, compte sur moi !","Se vuoi un codice per un condimento gratis, fammi sapere e te lo darò, bella!","Wenn du einen Code für ein kostenloses Topping haben willst, lass es mich wissen. Ich mach das, Kumpel!","Avísame si quieres un descuento para el próximo pedido, colegui.","Если нужен код на бесплатную начинку, только скажи. Я обо всем позабочусь!","Se quiser um vale de cobertura grátis, eu consigo pra você, colega!",如果妳想要免費加料的優惠碼的話，告訴我一聲。我幫你搞定，兄弟！,"Bedava malzeme kodu istersen haber ver. Hallederim, dostum!",無料トッピングのクーポンコードが欲しかったら、言ってくれよな！,"무료 토핑 코드 필요하면 이야기 해. 얼마든지 줄게, 친구!","Bedava malzeme kodu istersen haber ver. Hallederim, dostum!",
,"I can't believe I'm on TV!!! It's so cool bein' on this righteous journey with you, dude!",,"Trop bien, je suis à la télé ! C'est super cool de suivre ce parcours vertueux avec toi !","Non ci credo, sono in TV!!! Che figo essere nel cammino del bene insieme a te, bella!","Ich kann es kaum fassen, dass ich im Fernsehen bin!!! Es ist so cool, mit dir auf dieser coolen Reise zu sein, Kumpel!",¡¡¡No me creo que esté saliendo en la tele!!! ¡Es una pasada acompañarte en esta aventura!,"Поверить не могу, что я попал в телек!!! Так круто поучаствовать в твоей борьбе за справедливость!","Não acredito que tô na TV!!! É muito legal estar nessa jornada incrível com você, cara!",我簡直不敢相信我竟然上電視了！ ！ ！能和妳一起踏上這段正義的旅程真是太棒了，兄弟！,"Televizyona ciktigima inanamiyorum!!! Seninle bu harika yolculukta olmak cok havali, dostum!",僕がテレビ番組に出れるなんて！！！君と知り合いになれて、よかったよ！,"내가 TV에 나오다니!!! 너랑 이렇게 멋진 걸 하다니 진짜 대단해, 친구!","Televizyona ciktigima inanamiyorum!!! Seninle bu harika yolculukta olmak cok havali, dostum!",
,"Woah, I never told you my name! It's Zakk, dude!",,"Aaah, je ne t'ai jamais dit mon nom ! Moi, c'est Zakk, meuf !","Wow, non ti ho mai detto come mi chiamo! Sono Zakk, bella!","Woah, ich habe dir nie meinen Namen gesagt! Ich heiße Zakk, Kumpel!","Uy, no te he dicho cómo me llamo. Soy Zakk, colegui.","Ох, я ведь не представился! Меня зовут Закк!","Uau, eu nunca te disse meu nome! É Zakk, cara!",哇，我還沒告訴妳我的名字呢！我叫札克，老兄！,"Vay, adimi hic soylemedim! Ben Zakk, dostum!",そういえば、まだ名前も言ってなかったね！僕はザックだ！,"와, 내가 이름을 안 알려줬구나! 난 잭이야, 친구!","Vay, adimi hic soylemedim! Ben Zakk, dostum!",
,"You know your boy Zakk got the hook up for you, Tabby!",,"Tu sais que tu peux compter sur ton pote Zakk, Tabby !","Sai che puoi sempre contare sul tuo amico Zakk, Tabby!","Du weißt doch, dass dein Kumpel Zakk dir was zu bieten hat, Tabby!","Tu colega Zakk te consigue ofertas, Tabby.","Твой друг Закк тебя не подведет, Табби!","Fique sabendo que seu amigo Zakk tá aqui pra você, Tabby!",你知道的，塔比，妳的兄弟扎克會幫你搞定一切！,"Dostun Zakk'in sana torpili var, Tabby!",タビーのためなら、ザック兄ちゃんが手伝うよ！,"네 친구 잭이 대단한 걸 가져왔다고, 태비!","Dostun Zakk'in sana torpili var, Tabby!",
,How's my favorite one-armed chick and her totally awesome snail bro doin?,,Comment vont ma pote à un bras préférée et son escargot super cool ?,Come stanno la mia migliore amica senza braccio e la sua lumaca super fantastica?,Wie geht’s meiner Lieblings-Einarmigen und ihrem total coolen Schneckenbro?,¿Qué tal están mi manquita preferida y su caracol alucinante?,Как поживают моя любимая однорукая девчонка и ее крутейшая улитка?,Como tá a minha garota de um braço só favorita e seu caracol incrível?,我最愛的獨臂女孩和她超棒的蝸牛兄弟過得好嗎？最近過得怎麼樣啊？,En sevdigim tek kollu kiz ve super salyangoz kardesi nasil?,片腕だけの嬢ちゃんと、相棒のカタツムリは元気かい？,내가 제일 좋아하는 외팔이 소녀와 완전 멋진 달팽이 친구는 잘 있었나?,En sevdigim tek kollu kiz ve super salyangoz kardesi nasil?,
,How's my favorite one-armed chick doin?,,Comment va ma pote à un bras préférée ?,Come sta la mia migliore amica senza braccio?,Wie geht’s es meiner Lieblings-Einarmigen?,¿Qué tal está mi manquita preferida?,Как поживает моя любимая однорукая девчонка?,Como tá a minha garota de um braço só favorita?,我最愛的獨臂女孩最近過得如何啊？,En sevdigim tek kollu kiz nasil?,片腕だけの嬢ちゃんは、元気かい？,내가 제일 좋아하는 외팔이 소녀는 잘 있었나?,En sevdigim tek kollu kiz nasil?,
,You better be sharin' some of this with your homies!,,T'as intérêt à partager avec tes potes !,Ti consiglio di condividerne un po' con i tuoi amici!,Du solltest besser etwas davon mit deinen Kumpels teilen!,Espero que vayas a compartir eso con alguien.,Не забудь угостить друзей!,É melhor você dividir isso com seus amigos!,妳可得分享一些給你的兄弟們！,Bundan dostlarinla da paylassan iyi olur!,ちゃんと友だちにも分けてあげな！,친구들이랑 나눠 먹어!,Bundan dostlarinla da paylassan iyi olur!,
,"You must really like pizza, dude!",,"Tu dois vraiment aimer la pizza, meuf !","Devi davvero amare la pizza, bella!","Du musst Pizza wirklich mögen, Kumpel!","Ya te puede gustar la pizza, colega.","А ты, похоже, очень любишь пиццу, подруга!","Você deve gostar muito de pizza, cara!",妳一定很喜歡披薩吧，老兄！,"Pizzayi baya seviyorsun ha, dostum!",君は本当にピザが好きなんだね！,피자를 정말 좋아하는 구나!,"Pizzayi baya seviyorsun ha, dostum!",
,"One large pizza with double escargot topping, enjoy! Ha, just yankin' your chain, dude!",,"Une grande pizza avec double garniture d'escargots, bon app' ! Ha, j'te fais marcher !","Eccoti una pizza con doppio condimento di lumache! Ah, ti è piaciuta la battuta?","Eine große Pizza mit doppeltem Schneckentopping, guten Appetit! Ha, ich nehm dich nur auf den Arm, Kumpel!","Una pizza gigante con doble de caracoles. ¡Que la disfrutes! Ja, ja. ¡Estoy de coña!","Одна большая пицца с двойной начинкой из улиток, приятного аппетита! Ха, да шучу я, шучу!","Uma pizza grande com cobertura dupla de escargots, bom apetite! Haha, brincadeira, cara!",一個加了雙倍蝸牛配料的大披薩，盡情享用吧！哈哈，只是跟妳開個玩笑啦，老兄！,"Cift salyangozlu bir buyuk pizza, afiyet olsun! Ha, saka yapiyorum dostum!",特大ピザのエスカルゴ・ダブルトッピング、お届けでーす！…って、冗談だよ！,"달팽이 토핑 두 배 라지 피자 한 판이요! 하, 장난이야!","Cift salyangozlu bir buyuk pizza, afiyet olsun! Ha, saka yapiyorum dostum!",
,"I made sure to do a taste test to make sure it was delicious for you, dude!",,J'ai goûté pour m'assurer qu'elle était délicieuse !,"Ho dato un piccolo assaggio per assicurarmi che fosse deliziosa al punto giusto per te, bella!","Ich habe einen Geschmackstest gemacht, um sicherzugehen, dass es dir schmeckt, Kumpel!",Me he encargado de probarla para asegurarme de que estaba a tu gusto.,"Я все продегустировал, чтобы тебе досталось только самое лучшее!","Fiz questão de provar pra garantir que estava gostoso pra você, cara!",老兄，為了妳我特地試吃過了，以確保這披薩對妳來說美味又好吃！,"Senin icin lezzetli oldugundan emin olmak icin tadina baktim, dostum!",美味しく出来上がっているか、味見して確かめといたよ！,"네가 먹을 거니까 맛있는지 확인해 본 거야, 친구!","Senin icin lezzetli oldugundan emin olmak icin tadina baktim, dostum!",
,"You just lookin' for an excuse to see your favorite delivery boy, or what?",,Tu cherches une excuse pour voir ton livreur préféré ou quoi ?,"Stai cercando solo una scusa per vedere il tuo porta-pizze preferito, vero?","Suchst du nur nach einer Ausrede, um deinen Lieblingslieferanten zu sehen, oder was?",¿Es que estás buscando excusas para ver a tu repartidor favorito?,"Тебе, поди, просто нужен предлог, чтобы повидать своего любимого доставщика пиццы?",Você só tá procurando uma desculpa para ver seu entregador favorito ou o quê?,妳是否只是想找個藉口去見見妳最喜歡的外送員？,"En sevdigin kuryeyi gormek icin bahane mi ariyorsun, ne?",君は僕と会う口実を探しているんじゃないか？,제일 좋아하는 배달원을 만날 핑계라도 필요했던 거야?,"En sevdigin kuryeyi gormek icin bahane mi ariyorsun, ne?",
,"Woah, is that a snail on your head? I love snails, dude!",,"Ouah, c'est un escargot que tu as sur la tête ? J'adore les escargots !","Wow, è una lumaca quella sulla tua testa? Adoro le lumache, bella!","Woah, ist das eine Schnecke auf deinem Kopf? Ich liebe Schnecken, Kumpel!","Vaya, ¿eso que tienes en la cabeza es un caracol? Me encantan los caracoles.","Ого, у тебя на голове улитка? Я обожаю улиток!","Uau, é um caracol aí na sua cabeça? Adoro caracóis, cara!",哇，妳的頭頂上是有隻蝸牛嗎？老兄，我超愛蝸牛的！,"Vay, kafandaki salyangoz mu? Salyangozlara bayilirim, dostum!",頭に乗っているのはカタツムリか？カタツムリは大好きなんだ！,"와, 머리에 그거 달팽이야? 달팽이 완전 좋아!","Vay, kafandaki salyangoz mu? Salyangozlara bayilirim, dostum!",
,Sorry about the smell. I keep it au naturel.,,Désolé pour les odeurs. Je suis du genre naturel.,Scusa per l'odore. Mi mantengo su profumi naturali.,Tut mir leid wegen des Geruchs. Ich halte es au naturel.,Disculpa el olor. Es que me va lo natural.,Прости за запах. Я за все натуральное.,"Desculpe o cheiro. Gosto de ficar ""au naturel"".",我很抱歉那味道會稍微有一點重，我保留了天然原味。,Koku icin kusura bakma. Dogal takiliyorum.,匂っててすまないね、僕はナチュラル思考なんだ。,냄새는 미안해. 난 자연 상태를 좋아하거든.,Koku icin kusura bakma. Dogal takiliyorum.,
,"I poured my blood, sweat, and ink into that pizza. Just kidding about the ink.",,"J'ai préparé cette pizza avec mon sang, ma sueur et de l'encre. Non, je plaisante, y a pas d'encre.","Ho versato sangue, sudore e inchiostro in quella pizza. Sul fatto dell'inchiostro, scherzo.","Ich habe mein Blut, meinen Schweiß und meine Tinte in diese Pizza gesteckt. Das mit der Tinte war nur ein Scherz.","Le he echado sangre, sudor y tinta a la pizza. Es broma... lo de la tinta.","Я пролил пот, кровь и чернила, чтобы приготовить эту пиццу. Ладно, про чернила я шучу.","Eu coloquei meu sangue, suor e tinta naquela pizza. Brincadeira sobre a tinta.",我把我的心血、汗水，還有墨水都傾注在那份披薩上了。我開玩笑的，不需要加墨水啦。,"O pizzaya kanimi, terimi ve murekkebimi kattim. Murekkep sakaydi.",僕は血と汗とインクをピザに注ぎ込んだ。インクの部分は冗談だよ。,"내 피, 땀, 잉크를 넣어 만들었지. 잉크는 농담이야.","O pizzaya kanimi, terimi ve murekkebimi kattim. Murekkep sakaydi.",
,"What, no tip? Not cool, dude.",,"Tu me lâches pas un pourboire ? C'est pas cool, meuf.","Cosa, nessuna mancia? Non si fa così, bella.","Was, kein Trinkgeld? Nicht cool, Kumpel.",¿No hay propina? Eso no mola.,"Что, без чаевых? Нехорошо так поступать, подруга.","Hã? Sem gorjeta? Que feio, cara.",什麼，沒給小費？不太好吧，老兄。,"Ne, bahsis yok mu? Olmadi, dostum.",おい、チップなしか？そりゃないだろ。,팁이 없다고? 그건 별론데.,"Ne, bahsis yok mu? Olmadi, dostum.",
,"Woah! One arm? Too bad you aren't an octopus, you'd have regrown it back by now, dude!",,"Ouah ! Un bras ? Dommage que tu sois pas une pieuvre, il aurait repoussé !","Wow? Un braccio solo? Peccato che tu non sia un polpo, altrimenti ti sarebbe ricresciuto!","Puh! Ein Arm? Schade, dass du kein Oktopus bist, dann wäre er dir schon längst wieder nachgewachsen, Kumpel!","¡Uf! ¿Te falta un brazo? Qué pena que no seas un pulpo, te habría crecido de nuevo.","Ух ты! У тебя всего одна рука? Жаль, ты не осьминог, иначе отрастила бы себе новую!","Uau! Um braço só? Que pena que você não é um polvo, senão já teria regenerado, cara!",哇！只有一條手臂？可惜妳不是一隻章魚，兄弟，不然妳的手臂現在應該已經長回來了！,"Vay! Tek kol mu? Keske ahtapot olsaydin, simdiye yeniden cikardi, dostum!",うわぁ！片腕しかないの？タコだったら腕を再生できるのにね。気の毒に！,"우와! 팔이 하나야? 문어였다면 다시 팔이 자랐을 텐데, 아쉽다!","Vay! Tek kol mu? Keske ahtapot olsaydin, simdiye yeniden cikardi, dostum!",
,Stare,,Fixer,Fissa,Starren,Mirar fijamente,Смотреть,Encarar,盯著,Bakis,じっと見る,지켜보기,Bakis,
,How you doin' back there?,,"Comment ça va, à l'arrière ?",Come va là dietro?,Wie geht’s dir da hinten?,¿Qué tal por allí atrás?,Как у тебя тут дела?,Como tão as coisas aí atrás?,妳那邊的情況怎麼樣了？,Orada nasilsin?,そこで何をしている？,괜찮으신가요 손님?,Orada nasilsin?,
,You look like you've been through hell.,,T'as l'air de revenir de l'enfer.,Hai la faccia di chi se l'è vista molto brutta.,"Du siehst aus, als ob du durch die Hölle gegangen wärst.",Tienes pinta de haber pasado un infierno.,"У тебя такой вид, словно ты прошла через ад.",Você parece que passou por um inferno.,看來妳經歷了一場如地獄般的大災難啊。,Cehennemden gecmis gibi gorunuyorsun.,まるで地獄をくぐってきたみたいな顔をしてるぞ。,힘든 일을 겪은 모양이군요.,Cehennemden gecmis gibi gorunuyorsun.,
,"At least your evening can't get any worse, right? Ha. Ha.",,"Tu peux être sûre que ta soirée ne peut que s'améliorer, pas vrai ? Ha. Ha.","Almeno la tua serata non può andare peggio di così, giusto? Ah ah.","Wenigstens kann dein Abend nicht noch schlimmer werden, oder? Ha. Ha.","Al menos, esto ya no puede ir a peor, ¿verdad? Ja, ja.","Что ж, хуже-то уже точно не будет, правда? Ха-ха.","Pelo menos sua noite não pode piorar, né? Ha. Ha.",至少妳的夜晚不會變得更糟了吧？哈哈。,"En azindan aksamin daha kotu olamaz, degil mi? Ha. Ha.",夜はこれ以上悪くなりようがないだろ？ハハ。,그래도 이 이상 나빠지진 않겠죠? 하. 하.,"En azindan aksamin daha kotu olamaz, degil mi? Ha. Ha.",
,Don't worry...,,Ne t'en fais pas...,Non preoccuparti...,Mach dir keine Sorgen ...,No te preocupes...,Не беспокойся...,Não se preocupe...,不用擔心...,Merak etme...,心配するな…,걱정 마세요...,Merak etme...,
,"So, where ya headed little girl?",,"Alors, où on va, fillette ?","Dimmi, dove sei diretta, ragazzina?","Also, wo willst du hin, kleines Mädchen?","Bueno, ¿adónde ibas, pequeña?","Куда же ты направляешься, деточка?","Então, pra onde você vai, garotinha?",所以，妳打算去哪裡呢，小姑娘？,"Nereye gidiyorsun, kucuk kiz?",それで、どこへ行くんだい、お嬢ちゃん？,그래서 어디로 가나요? 작은 아가씨.,"Nereye gidiyorsun, kucuk kiz?",
,Home?,,À la maison ?,A casa?,Zuhause?,¿A casa?,Домой?,Pra casa?,家？,Eve mi?,家か？,집?,Eve mi?,
,"Ah, but you don't have a home, do you?",,"Ah, mais tu n'as pas de maison, si ?","Ah, ma tu non hai una casa, vero?","Aber du hast doch kein Zuhause, oder?","Ah, pero tú no tienes casa, ¿verdad?","Ах, но у тебя же нет дома, да?","Ah, mas você não tem uma casa, tem?",啊，但是妳沒有家啊，不是嗎？,"Ama senin evin yok, degil mi?",でも家なんてないだろ？,아 그런데 집이 없는 거죠?,"Ama senin evin yok, degil mi?",
,How sad.,,C'est triste.,Che peccato.,Wie traurig.,Qué pena.,Как печально.,Que triste.,真是可憐。,Ne uzucu.,かわいそうに。,슬프기도 하지.,Ne uzucu.,
,You can stay with me...,,Tu peux rester avec moi...,Puoi rimanere con me...,Du kannst bei mir bleiben ...,Puedes quedarte conmigo...,Можешь остаться со мной...,Você pode ficar comigo...,你可以留下來陪我…,Benimle kalabilirsin...,ずっと私と一緒にいてもいいんだよ…,나랑 같이 지내도 돼요.,Benimle kalabilirsin...,
,Forever.,,Pour l'éternité.,Per sempre.,Für immer.,Para siempre.,Навсегда.,Para sempre.,永遠。,Sonsuza dek.,永遠に。,영원히.,Sonsuza dek.,
,"""The Voice""",,« La voix »,"""La voce""",„Die Stimme“,«La voz»,«Голос»,"""A voz""",“那道聲音”,"""Ses""",声,"""목소리""","""Ses""",
,"""The Midnight Network""",,« The Midnight Network »,"""The Midnight Network""",„The Midnight Network“,"""The Midnight Network""",«The Midnight Network»,"""The Midnight Network""",「The Midnight Network」,"""Gece Yarisi Agi""",「The Midnight Network」,"""The Midnight Network""","""Gece Yarisi Agi""",
,"""Her Voice""",,« Sa voix »,"""La sua voce""",„Ihre Stimme“,«Su voz»,«Ее голос»,"""A voz dela""",“她的聲音”,"""Onun Sesi""",彼女の声,"""그녀의 목소리""","""Onun Sesi""",
,It's been nearly 40 years...,,Ça fait près de 40 ans...,Sono passati quasi 40 anni...,Es ist fast 40 Jahre her ...,Han pasado casi 40 años...,Прошло уже почти 40 лет...,Já se passaram quase 40 anos...,已經過了將近40年了…,Neredeyse 40 yil oldu...,もう40年も経つ…,거의 40년이나 됐잖아...,Neredeyse 40 yil oldu...,
,"Get a move on now, alright?",,"Tu peux t'en aller, maintenant ?","Ora dovresti andare, che dici?","Beeil dich, okay?","Date prisa, ¿vale?","Поторопись, ладно?","Então agora vamos lá, tá?",趕快行動起來，好嗎？,"Hadi harekete gec, tamam mi?",ほら、とっとと急げ。,"이제 잊어버리자, 응?","Hadi harekete gec, tamam mi?",
,"Don't be too hard on her, alright?",,"Ne sois pas trop dure avec elle, d'accord ?","Non prendertela con lei, ok?","Sei nicht zu streng mit ihr, okay?","No te pases con ella, ¿de acuerdo?","Ты уж будь с ней помягче, ладно?","Não pegue tão pesado com ela, tá?",別對她太嚴厲了，好嗎？,"Ona cok yuklenme, tamam mi?",彼女にキツくあたるなよ？,"너무 그러지 마, 알겠지?","Ona cok yuklenme, tamam mi?",
,"Maybe you can put a stop to it, huh?",,"Tu parviendras peut-être à l'arrêter, hein ?","Forse puoi fermare tutto questo, eh?","Vielleicht kannst du dem ein Ende setzen, hm?","Quizá podrías parar, ¿eh?","Может, ты сумеешь положить всему конец?","Talvez você possa colocar um fim nisso, hein?",或許妳能阻止這件事情，對吧？,"Belki sen buna bir son verebilirsin, ha?",君なら終止符を打てるかもしれない。,어쩌면 네가 멈출 수 있지 않을까?,"Belki sen buna bir son verebilirsin, ha?",
,That damn network...They're runnin' the world now.,,"Cette fichue chaîne... Elle contrôle le monde, maintenant.",Quel maledetto canale... Controlla il mondo adesso.,Dieses verdammte Netzwerk ... Sie regieren jetzt die Welt.,Esa maldita cadena... Ahora dirigen el mundo.,Проклятый канал... Он отравляет весь мир.,Aquela maldita emissora... Agora mandam no mundo todo.,那個該死的夢魘頻道…現在整個世界都被他們掌控了。,O lanet ag... Simdi dunyayi onlar yonetiyor.,悪しきネットワークめ…今や連中が世界を支配するようになった。,빌어먹을 네트워크... 이제 세상을 지배하고 있군.,O lanet ag... Simdi dunyayi onlar yonetiyor.,
,"If you see Lois, tell her...eh, I don't know.",,"Si tu vois Loïs, dis-lui... euh, je sais pas.","Se vedi Lois, dille che... Uh, non so.","Wenn du Lois siehst, sag ihr ... äh, ich weiß nicht.","Si ves a Lois, dile, eh..., no sé.","Если увидишь Лоис, передай ей... нет, не знаю, что сказать.","Se você vir a Lois, diga a ela... ah, não sei.",如果你見到露易絲，告訴她…呃，我不知道。,"Lois'i gorursen ona soyle... sey, bilmiyorum.",ロイスを見かけたら、伝えてくれ…いや、やっぱりいい。,"로이스를 보면...어, 아니다.","Lois'i gorursen ona soyle... sey, bilmiyorum.",
,Thanks again for letting her rest.,,Merci encore de lui permettre de reposer en paix.,Grazie per averle dato un po' di riposo.,"Nochmals vielen Dank, dass du sie ausruhen lässt.",Gracias de nuevo por dejar que descansara.,"Еще раз спасибо, что обеспечила ей покой.",Obrigado de novo por deixá-la descansar.,再次感謝妳讓她能好好地安息。,Onu dinlenmeye biraktigin icin yine sag ol.,彼女に安らぎを与えてくれてありがとう。,수지를 구해줘서 고마워.,Onu dinlenmeye biraktigin icin yine sag ol.,
,My little girl...,,Ma petite fille...,La mia bambina...,Mein kleines Mädchen ...,Mi pequeña...,Моя девочка...,Minha garotinha...,我的小女孩…,Kucuk kizim...,私の幼い娘を…,내 딸...,Kucuk kizim...,
,They took her.,,Ils l'ont enlevée.,L'hanno presa.,Sie haben sie mitgenommen.,La han atrapado.,Они ее забрали.,Eles levaram ela.,他們把她給帶走了。,Onu aldilar.,連中が連れ去った。,놈들이 데려갔어.,Onu aldilar.,
,Lois has had to do it all on her own.,,Loïs a dû tout faire seule.,Lois ha dovuto fare tutto da sola.,Lois musste das alles allein schaffen.,Lois ha tenido que hacerlo todo ella sola.,Лоис пришлось выполнять их прихоти.,A Lois teve que fazer tudo sozinha.,露易絲不得不獨自面對這一切。,Lois her seyi tek basina yapmak zorunda kaldi.,ロイスは全部ひとりで背負わされた。,로이스가 전부 혼자 감당해야 했지.,Lois her seyi tek basina yapmak zorunda kaldi.,
,"Hey, kid.",,"Salut, petite.","Ehi, ragazzina.","Hey, Kleines.","Oye, chica.","Привет, девочка.","Ei, garota.",嘿，孩子。,"Hey, evlat.",やあ。,"안녕, 꼬마야.","Hey, evlat.",
,"After we lost the farm, we had no other options. That damn horse...",,"Quand on a perdu la ferme, on a plus eu le choix. Cette satanée jument...","Dopo aver perso la fattoria, non avevamo altra scelta. Quel maledetto cavallo...","Nachdem wir die Farm verloren hatten, hatten wir keine anderen Möglichkeiten. Dieses verdammte Pferd ...","Después de perder la granja, no nos quedaba otra opción. Ese maldito caballo...","Когда мы потеряли ферму, у нас не осталось других вариантов. Чертова лошадь...","Após perdemos a fazenda, não tínhamos mais opções. Aquele maldito cavalo...",在失去了農場之後，我們別無選擇。那匹該死的馬…,Ciftligi kaybettikten sonra baska secenegimiz kalmadi. O lanet at...,農場を失っていて、それ以外に選択肢がなかったんだ。あの忌まわしい馬め…,농장을 잃은 뒤엔 선택지가 없었어. 저 빌어먹을 말...,Ciftligi kaybettikten sonra baska secenegimiz kalmadi. O lanet at...,
,We made a deal with them. They said they'd solve our problems.,,On a passé un marché avec eux. Ils ont dit qu'ils résoudraient nos problèmes.,Abbiamo fatto un accordo con loro. Dissero che avrebbero risolto i nostri problemi.,"Wir haben einen Deal mit ihnen gemacht. Sie sagten, sie würden unsere Probleme lösen.",Hicimos un trato con ellos. Dijeron que resolverían nuestros problemas.,"Мы заключили с ними сделку. Они сказали, что решат наши проблемы.",Fizemos um acordo com eles. Disseram que resolveriam nossos problemas.,我們跟他們做了交易。他們說會解決我們的問題。,Onlarla bir anlasma yaptik. Sorunlarimizi cozeceklerini soylediler.,あいつらと取引した。問題を解決してくれるって言ったんだ。,우린 그들과 거래했어. 우리 문제를 해결해 주겠다고 했지.,Onlarla bir anlasma yaptik. Sorunlarimizi cozeceklerini soylediler.,
,We didn't know they would take her.,,On ne savait pas qu'ils l'emmèneraient.,Non sapevamo che l'avrebbero portata via.,"Wir wussten nicht, dass sie sie mitnehmen würden.",No sabíamos que se la llevarían.,"Мы не знали, что они заберут её.",Não sabíamos que iam levá-la.,我們不知道他們會把她帶走。,Onu alacaklarini bilmiyorduk.,あの子を連れていくなんて知らなかった。,그들이 그 애를 데려갈 줄은 몰랐어.,Onu alacaklarini bilmiyorduk.,
